epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.479,3.79875,3.91257,3.23943,0.12495,0.06333,0.0272,0.00852,3.07491,3.31914,2.91641,0.070131,0.00331878,0.00331878
2,337.496,2.84339,2.73146,2.30696,0.63775,0.16056,0.11332,0.03825,2.66301,4.06526,2.40742,0.0400981,0.00661918,0.00661918
3,472.209,2.38891,2.09344,1.91647,0.37099,0.23226,0.21505,0.08292,2.30367,2.3964,2.14877,0.0100321,0.00988659,0.00988659
4,591.831,2.08036,1.79185,1.71824,0.26937,0.29132,0.2415,0.09727,2.24258,2.25371,2.05931,0.0098515,0.0098515,0.0098515
5,930.509,1.88295,1.58254,1.56444,0.48208,0.36906,0.37537,0.19132,1.72623,1.73335,1.74051,0.009802,0.009802,0.009802
6,1038.77,1.75194,1.45082,1.49014,0.61439,0.40826,0.42322,0.20644,1.6725,1.5635,1.66063,0.0097525,0.0097525,0.0097525
7,1461.28,1.68645,1.3832,1.44686,0.71331,0.42983,0.47643,0.25004,1.56945,1.43776,1.59699,0.009703,0.009703,0.009703
8,1557.51,1.6148,1.29616,1.39596,0.68067,0.43854,0.48467,0.25351,1.58271,1.39006,1.59249,0.0096535,0.0096535,0.0096535
9,1645.62,1.56707,1.23436,1.36703,0.80393,0.44826,0.50942,0.27958,1.4917,1.33453,1.52159,0.009604,0.009604,0.009604
10,1818.52,1.53345,1.20882,1.35447,0.66595,0.47758,0.52026,0.2991,1.42089,1.30146,1.49476,0.0095545,0.0095545,0.0095545
11,1950.82,1.49116,1.14668,1.31693,0.58385,0.50489,0.53424,0.29666,1.41926,1.26245,1.47693,0.009505,0.009505,0.009505
12,2072.75,1.46394,1.13619,1.3115,0.65339,0.51322,0.54165,0.31727,1.35606,1.22786,1.4566,0.0094555,0.0094555,0.0094555
13,2493.71,1.43592,1.09993,1.29205,0.73183,0.50393,0.56232,0.32957,1.34196,1.18795,1.43135,0.009406,0.009406,0.009406
14,2577.24,1.41833,1.06965,1.27529,0.56538,0.55661,0.57329,0.34104,1.33521,1.17551,1.41786,0.0093565,0.0093565,0.0093565
15,2680.89,1.39763,1.05692,1.26571,0.73889,0.51689,0.57353,0.34281,1.31266,1.16806,1.40275,0.009307,0.009307,0.009307
16,2778.82,1.38859,1.04999,1.26587,0.60356,0.56188,0.58252,0.33679,1.36684,1.15673,1.43195,0.0092575,0.0092575,0.0092575
17,2870.84,1.36127,1.02293,1.24718,0.67086,0.57701,0.59628,0.35818,1.30736,1.13429,1.4053,0.009208,0.009208,0.009208
18,2954.27,1.34287,0.99535,1.23091,0.64058,0.5541,0.59672,0.36363,1.27108,1.10138,1.37926,0.0091585,0.0091585,0.0091585
19,3059.27,1.32435,0.9859,1.22441,0.63866,0.58284,0.612,0.37356,1.25163,1.09253,1.36149,0.009109,0.009109,0.009109
20,3152.63,1.30184,0.97362,1.21957,0.62023,0.59485,0.61853,0.38511,1.23832,1.08312,1.35718,0.0090595,0.0090595,0.0090595
21,3262.78,1.29199,0.96615,1.21266,0.64289,0.58307,0.62015,0.38782,1.23188,1.07627,1.34893,0.00901,0.00901,0.00901
